id,account_id,amount,currency,type,timestamp,description,counterparty,reference
TXN-001,ACC-1001,2500.00,USD,debit,2024-11-15T09:30:00,Office supplies purchase,VENDOR-A1B2C3D4,
TXN-002,ACC-1001,150.75,USD,credit,2024-11-15T10:15:00,Refund for damaged goods,VENDOR-A1B2C3D4,TXN-001
TXN-003,ACC-1002,8750.00,EUR,transfer,2024-11-15T11:00:00,International wire to Berlin office,PARTNER-E5F6G7H8,
TXN-004,ACC-1001,320.00,USD,debit,2024-11-15T11:45:00,Monthly software subscription,,
TXN-005,ACC-1003,15000.00,USD,debit,2024-11-15T12:00:00,Equipment purchase - server rack,VENDOR-I9J0K1L2,
TXN-006,ACC-1002,4200.00,GBP,credit,2024-11-15T12:30:00,Client payment - Project Alpha,CLIENT-M3N4O5P6,
TXN-007,ACC-1001,89.99,USD,debit,2024-11-15T13:00:00,Cloud hosting charges,,
TXN-008,ACC-1003,1200.00,USD,reversal,2024-11-15T13:30:00,Reversed duplicate payment,VENDOR-I9J0K1L2,TXN-005
TXN-009,ACC-1002,6500.00,JPY,transfer,2024-11-15T14:00:00,Tokyo office operational fund,BRANCH-Q7R8S9T0,
TXN-010,ACC-1001,450.00,USD,debit,2024-11-15T14:30:00,Team lunch - all hands meeting,,
TXN-011,ACC-1003,22000.00,USD,credit,2024-11-15T15:00:00,Q4 revenue share payment,CLIENT-U1V2W3X4,
TXN-012,ACC-1001,175.50,CAD,debit,2024-11-15T15:30:00,Canadian SaaS tool subscription,,
TXN-013,ACC-1002,3800.00,USD,transfer,2024-11-15T16:00:00,Payroll transfer - contractor,CONTR-Y5Z6A7B8,
TXN-014,ACC-1001,950.00,USD,debit,2024-11-15T16:30:00,Conference registration fees,,
TXN-015,ACC-1003,7200.00,EUR,credit,2024-11-15T17:00:00,EU grant disbursement,GOVT-C9D0E1F2,
TXN-016,ACC-1001,12500.00,USD,debit,2024-11-16T09:00:00,Annual insurance premium,,
TXN-017,ACC-1002,340.00,USD,credit,2024-11-16T09:30:00,Expense reimbursement - travel,,
TXN-018,ACC-1003,5600.00,GBP,transfer,2024-11-16T10:00:00,London office rent payment,LANDLORD-G3H4I5J6,
TXN-019,ACC-1001,2100.00,USD,debit,2024-11-16T10:30:00,Marketing campaign - Q4 push,,
TXN-020,ACC-1002,890.00,CHF,debit,2024-11-16T11:00:00,Swiss compliance filing fee,,
TXN-021,ACC-1001,4500.00,USD,credit,2024-11-16T11:30:00,Client payment - Project Beta,CLIENT-K7L8M9N0,
TXN-022,ACC-1003,18000.00,USD,reversal,2024-11-16T12:00:00,Reversed incorrect wire,PARTNER-E5F6G7H8,TXN-003
TXN-023,ACC-1002,670.00,USD,debit,2024-11-16T12:30:00,Office catering service,,
TXN-024,ACC-1001,3200.00,EUR,transfer,2024-11-16T13:00:00,Vendor payment - EU supplier,VENDOR-O1P2Q3R4,
TXN-025,ACC-1003,1450.00,USD,debit,2024-11-16T13:30:00,Legal consultation fees,,
TXN-026,ACC-1002,9800.00,USD,credit,2024-11-16T14:00:00,Performance bonus pool distribution,,
TXN-027,ACC-1001,280.00,USD,debit,2024-11-16T14:30:00,Domain renewals - annual,,
TXN-028,ACC-1003,42000.00,USD,debit,2024-11-16T15:00:00,Quarterly AWS infrastructure bill,,
TXN-029,ACC-1002,1100.00,AUD,transfer,2024-11-16T15:30:00,Sydney office petty cash,BRANCH-S5T6U7V8,
TXN-030,ACC-1001,560.00,USD,credit,2024-11-16T16:00:00,Returned equipment credit,VENDOR-A1B2C3D4,
TXN-031,ACC-1003,7500.00,USD,debit,2024-11-17T09:00:00,Contractor payment - backend dev,CONTR-W9X0Y1Z2,
TXN-032,ACC-1001,1890.00,USD,debit,2024-11-17T09:30:00,Employee training program,,
TXN-033,ACC-1002,25000.00,USD,credit,2024-11-17T10:00:00,Series A milestone payment,INVESTOR-A3B4C5D6,
TXN-034,ACC-1003,430.00,USD,debit,2024-11-17T10:30:00,Security audit subscription,,
TXN-035,ACC-1001,6700.00,GBP,transfer,2024-11-17T11:00:00,UK consulting engagement,CONSULT-E7F8G9H0,
TXN-036,ACC-1002,2300.00,USD,debit,2024-11-17T11:30:00,Recruitment platform annual fee,,
TXN-037,ACC-1003,980.00,USD,credit,2024-11-17T12:00:00,Tax refund - overpayment correction,,
TXN-038,ACC-1001,4100.00,USD,debit,2024-11-17T12:30:00,Product launch event venue,,
TXN-039,ACC-1002,15500.00,EUR,transfer,2024-11-17T13:00:00,European subsidiary funding,BRANCH-I1J2K3L4,
TXN-040,ACC-1003,750.00,USD,debit,2024-11-17T13:30:00,Code signing certificates,,
TXN-041,ACC-1001,3300.00,USD,credit,2024-11-17T14:00:00,Client payment - maintenance contract,CLIENT-M5N6O7P8,
TXN-042,ACC-1002,1650.00,USD,debit,2024-11-17T14:30:00,Team building event expenses,,
TXN-043,ACC-1003,8900.00,USD,debit,2024-11-17T15:00:00,Database migration consulting,CONTR-Q9R0S1T2,
TXN-044,ACC-1001,520.00,CAD,debit,2024-11-17T15:30:00,Canadian payroll processing fee,,
TXN-045,ACC-1002,11200.00,USD,credit,2024-11-17T16:00:00,Partnership revenue share - Q3,PARTNER-U3V4W5X6,
TXN-046,ACC-1003,2800.00,USD,debit,2024-11-18T09:00:00,Penetration testing service,,
TXN-047,ACC-1001,190.00,USD,debit,2024-11-18T09:30:00,Printer supplies and maintenance,,
TXN-048,ACC-1002,5400.00,JPY,transfer,2024-11-18T10:00:00,Tokyo marketing campaign fund,BRANCH-Q7R8S9T0,
TXN-049,ACC-1003,16000.00,USD,credit,2024-11-18T10:30:00,Government contract payment,GOVT-Y7Z8A9B0,
TXN-050,ACC-1001,3750.00,USD,debit,2024-11-18T11:00:00,Annual Datadog observability plan,,
TXN-051,ACC-1002,920.00,USD,debit,2024-11-18T11:30:00,Legal retainer - monthly,,
TXN-052,ACC-1003,6100.00,EUR,transfer,2024-11-18T12:00:00,Berlin office equipment lease,LANDLORD-C1D2E3F4,
TXN-053,ACC-1001,14500.00,USD,debit,2024-11-18T12:30:00,Annual cyber insurance premium,,
TXN-054,ACC-1002,2700.00,USD,credit,2024-11-18T13:00:00,Referral bonus - new client,CLIENT-G5H6I7J8,
TXN-055,ACC-1001,480.00,USD,debit,2024-11-18T13:30:00,Ergonomic equipment for new hire,,
TXN-056,ACC-1003,33000.00,USD,debit,2024-11-18T14:00:00,Quarterly Google Cloud bill,,
TXN-057,ACC-1002,1800.00,GBP,transfer,2024-11-18T14:30:00,London PR agency retainer,AGENCY-K9L0M1N2,
TXN-058,ACC-1001,7800.00,USD,credit,2024-11-18T15:00:00,Client payment - Project Gamma,CLIENT-O3P4Q5R6,
TXN-059,ACC-1003,2200.00,USD,debit,2024-11-18T15:30:00,Compliance training platform,,
TXN-060,ACC-1002,950.00,USD,reversal,2024-11-18T16:00:00,Reversed duplicate subscription charge,,TXN-036
TXN-061,ACC-1001,5100.00,USD,debit,2024-11-19T09:00:00,Patent filing and legal fees,,
TXN-062,ACC-1003,1350.00,CHF,transfer,2024-11-19T09:30:00,Swiss banking compliance review,CONSULT-S7T8U9V0,
TXN-063,ACC-1002,8200.00,USD,credit,2024-11-19T10:00:00,Quarterly SaaS revenue - enterprise tier,,
TXN-064,ACC-1001,4600.00,USD,debit,2024-11-19T10:30:00,Executive team offsite venue,,
TXN-065,ACC-1003,19500.00,USD,debit,2024-11-19T11:00:00,ML model training compute costs,,
TXN-066,ACC-1002,720.00,USD,debit,2024-11-19T11:30:00,Office plant maintenance service,,
TXN-067,ACC-1001,28000.00,EUR,transfer,2024-11-19T12:00:00,EU subsidiary capital injection,BRANCH-W1X2Y3Z4,
TXN-068,ACC-1003,1600.00,USD,credit,2024-11-19T12:30:00,Bug bounty payout refund,,
TXN-069,ACC-1002,3900.00,USD,debit,2024-11-19T13:00:00,Customer success platform renewal,,
TXN-070,ACC-1001,610.00,USD,debit,2024-11-19T13:30:00,Branded merchandise order,,
TXN-071,ACC-1003,45000.00,USD,credit,2024-11-19T14:00:00,Series B bridge note payment,INVESTOR-A5B6C7D8,
TXN-072,ACC-1002,2400.00,AUD,transfer,2024-11-19T14:30:00,Sydney office quarterly rent,LANDLORD-E9F0G1H2,
TXN-073,ACC-1001,1100.00,USD,debit,2024-11-19T15:00:00,API gateway annual license,,
TXN-074,ACC-1003,5800.00,USD,debit,2024-11-19T15:30:00,Third-party security audit,,
TXN-075,ACC-1002,13700.00,USD,credit,2024-11-19T16:00:00,Client payment - annual contract renewal,CLIENT-I3J4K5L6,
TXN-076,ACC-1001,890.00,USD,debit,2024-11-20T09:00:00,Team snacks and beverages monthly,,
TXN-077,ACC-1003,7300.00,GBP,transfer,2024-11-20T09:30:00,UK regulatory filing fees,GOVT-M7N8O9P0,
TXN-078,ACC-1002,4800.00,USD,debit,2024-11-20T10:00:00,Annual Slack enterprise subscription,,
TXN-079,ACC-1001,21000.00,USD,credit,2024-11-20T10:30:00,Partnership deal signing bonus,PARTNER-Q1R2S3T4,
TXN-080,ACC-1003,1950.00,USD,debit,2024-11-20T11:00:00,CI/CD infrastructure upgrade,,
TXN-081,ACC-1002,560.00,USD,debit,2024-11-20T11:30:00,Background check service - hiring,,
TXN-082,ACC-1001,9400.00,EUR,transfer,2024-11-20T12:00:00,German consulting firm engagement,CONSULT-U5V6W7X8,
TXN-083,ACC-1003,3100.00,USD,credit,2024-11-20T12:30:00,Overpayment correction - vendor,,
TXN-084,ACC-1002,6700.00,USD,debit,2024-11-20T13:00:00,Annual penetration test - external,,
TXN-085,ACC-1001,1400.00,USD,debit,2024-11-20T13:30:00,Professional photography - product shots,,
TXN-086,ACC-1003,52000.00,USD,debit,2024-11-20T14:00:00,Quarterly payroll processing,,
TXN-087,ACC-1002,2600.00,CAD,transfer,2024-11-20T14:30:00,Canadian marketing agency retainer,AGENCY-Y9Z0A1B2,
TXN-088,ACC-1001,780.00,USD,credit,2024-11-20T15:00:00,Early payment discount received,VENDOR-A1B2C3D4,
TXN-089,ACC-1003,4200.00,USD,debit,2024-11-20T15:30:00,Annual SOC2 audit preparation,,
TXN-090,ACC-1002,17500.00,USD,credit,2024-11-20T16:00:00,Milestone payment - Project Delta,CLIENT-C3D4E5F6,
TXN-091,ACC-1001,2900.00,USD,debit,2024-11-21T09:00:00,Video production - product demo,,
TXN-092,ACC-1003,1250.00,JPY,transfer,2024-11-21T09:30:00,Tokyo office supplies restock,BRANCH-Q7R8S9T0,
TXN-093,ACC-1002,8500.00,USD,debit,2024-11-21T10:00:00,Annual GitHub enterprise license,,
TXN-094,ACC-1001,3600.00,USD,credit,2024-11-21T10:30:00,Speaking engagement honorarium,,
TXN-095,ACC-1003,11800.00,USD,debit,2024-11-21T11:00:00,Data center colocation - monthly,,
TXN-096,ACC-1002,440.00,USD,debit,2024-11-21T11:30:00,Office coffee service subscription,,
TXN-097,ACC-1001,6200.00,GBP,transfer,2024-11-21T12:00:00,UK accounting firm quarterly retainer,CONSULT-G7H8I9J0,
TXN-098,ACC-1003,29000.00,USD,credit,2024-11-21T12:30:00,Enterprise license - annual renewal,CLIENT-K1L2M3N4,
TXN-099,ACC-1002,1700.00,USD,debit,2024-11-21T13:00:00,Employee wellness program,,
TXN-100,ACC-1001,5500.00,USD,debit,2024-11-21T13:30:00,Trade show booth reservation,,
TXN-101,ACC-1003,2100.00,EUR,transfer,2024-11-21T14:00:00,EU data center bandwidth upgrade,VENDOR-O5P6Q7R8,
TXN-102,ACC-1002,38000.00,USD,credit,2024-11-21T14:30:00,Government contract - Phase 2 payment,GOVT-S9T0U1V2,
TXN-103,ACC-1001,920.00,USD,debit,2024-11-21T15:00:00,Professional headshots - team page,,
TXN-104,ACC-1003,7600.00,USD,debit,2024-11-21T15:30:00,Load testing infrastructure rental,,
TXN-105,ACC-1002,1350.00,USD,reversal,2024-11-21T16:00:00,Reversed incorrect vendor payment,VENDOR-O1P2Q3R4,TXN-024
